R                       Z                        solid.sr           solid.sz         solid.srz         solid.sphi        u                  w
0.135                     0.008979591836734692     -9.99996069038495        -10.748701529975875      9.4552069421778E-5       34.10180132832727        15.498355192042903       -0.08247992012726055
0.135                     0.009387755102040816     -9.999977281847144       -10.736521547236766      3.48181968668342E-5      33.98409006212015        15.49562898037728        -0.0852429870998285
0.135                     0.009795918367346938     -9.999998008935142       -10.723183469182613      -2.9255467624525406E-5   33.86047700313954        15.492785848321512       -0.08786690147997019
0.135                     0.010204081632653062     -10.00002309808045       -10.708609323814056      -9.79032528764777E-5     33.73085518232819        15.489826780129237       -0.0903439388264939
0.135                     0.010612244897959184     -10.000052797111408      -10.692719399260431      -1.7133293509431056E-4   33.595111522082526       15.486752909579534       -0.09266615030588939
0.135                     0.011020408163265308     -10.000087376162568      -10.675432882888662      -2.4971969027511444E-4   33.45312652616968        15.483565538421995       -0.09482535275495753
0.135                     0.011428571428571429     -9.999970453903943       -10.656344436503563      3.800221034237406E-5     33.304174329032165       15.480266013625066       -0.09681304981089442
0.135                     0.01183673469387755      -9.999999203075902       -10.635772089680033      -4.2062787853086825E-5   33.1484673283467         15.476856169420357       -0.09862044044974375
0.135                     0.012244897959183675     -10.000033440029146      -10.613544229305445      -1.2740668117813066E-4   32.98608114403033        15.473338000634842       -0.10023856866712416
0.135                     0.012653061224489797     -10.000073527846379      -10.589587494387422      -2.1798553632433875E-4   32.816863583756          15.469713724400748       -0.10165821050259813
0.135                     0.01306122448979592      -10.000119858246423      -10.563834864832792      -3.1362830231154915E-4   32.640653426467345       15.465985854728272       -0.1028698682968228
0.135                     0.013469387755102043     -9.999935429923449       -10.535839465212826      1.6264847630167375E-5    32.45703924834388        15.462157163229275       -0.10386374295424225
0.135                     0.013877551020408165     -9.999974078430245       -10.506038328385282      -8.301684717578126E-5    32.26534730466233        15.45823083556844        -0.10462960972525961
0.135                     0.014285714285714287     -10.000019643499478      -10.474305779024613      -1.86680002239243E-4     32.0660650489954         15.45421068171284        -0.10515710578551155
0.135                     0.01469387755102041      -10.000072574292544      -10.440644027720875      -2.937032836474498E-4    31.858981029194226       15.450100804958682       -0.10543562445576875
0.135                     0.01510204081632653      -10.000133319415603      -10.405087381563044      -4.0257294464763E-4      31.643868478923384       15.445905815269002       -0.10545430834016134
0.135                     0.015510204081632653     -10.000202305168747      -10.367712036526168      -5.111049168450512E-4    31.420483221299275       15.441630881770626       -0.10520207247879272
0.135                     0.015918367346938776     -9.999873531205132       -10.327866233430255      -1.978726463265593E-4    31.187673280743663       15.43728160850516        -0.10466747549240984
0.135                     0.0163265306122449       -9.999927882864041       -10.287128859586057      -3.1188338282786576E-4   30.945705622619183       15.4328647577691         -0.10383900165328128
0.135                     0.016734693877551023     -9.999989530822308       -10.245304342839647      -4.1735095953863527E-4   30.69450871538905        15.428387588696436       -0.10270516292257216
0.135                     0.017142857142857144     -10.000057528532325      -10.202862096894615      -5.063982536316645E-4    30.4337204590646         15.423858114542766       -0.10125449912486252
0.135                     0.017551020408163264     -10.000129244656662      -10.16045624037597       -5.677352916009893E-4    30.162934123345813       15.419285166946812       -0.09947572724344002
0.135                     0.017959183673469388     -9.999554913596365       -10.118144637376098      -5.032067352124817E-4    29.881259371778597       15.414678309423191       -0.09735786813739247
0.135                     0.018367346938775512     -9.999582232340366       -10.079444459263117      -5.44197908243493E-4     29.587434034330688       15.410048099211602       -0.09489053299901513
0.135                     0.018775510204081632     -9.999607152138191       -10.045335258473516      -4.8637686929105695E-4   29.281767255995252       15.405405602561231       -0.09206476247454783
0.135                     0.019183673469387756     -9.99968372874104        -10.01826390992663       -2.307185064960601E-4    28.96345707465846        15.400761444247243       -0.08887321896832436
0.135                     0.019591836734693877     -9.99949806757015        -10.002360008916096      3.2749281577066665E-4    28.631451730645836       15.396124609713816       -0.0853113061582359
0.135                     0.02                     -9.999011818688128       -9.999602722345925       8.852500142464843E-4     28.284853324363706       15.391497651463439       -0.08137702277872107
0.13570408163265307       0                        -9.764685463950974       -10.620638020791288      -2.221092722205975E-4    35.1217790890707         15.52240667393422        -1.5138981777784703E-19
0.13570408163265307       4.081632653061224E-4     -9.765121181716774       -10.62056263487986       -3.7216547435262205E-4   35.11930515794897        15.522349880048061       -0.003988488036216385
