R                       Z                        solid.sr        solid.sz          solid.srz          solid.sphi      u            w
0.135                     0.009795918367346938     -9.99993335299174        1.0828540884889661E-5    1.964993546166889E-6     44.696948097335685       14.816872687743908       -0.11329612205116664
0.135                     0.010204081632653062     -9.999933352958458       1.0830261163413523E-5    -1.964686983722873E-6    44.69694809753929        14.81687268773044        -0.1180167938051938
0.135                     0.010612244897959184     -9.999933353533          1.083788700029254E-5     -5.892713752577243E-6    44.69694809386434        14.816872686231898       -0.12273746555388476
0.135                     0.011020408163265308     -9.99993335496893        1.0849678957834838E-5    -9.81656915914003E-6     44.69694808601404        14.816872683242563       -0.12745813729128036
0.135                     0.011428571428571429     -9.999933354142362       1.0867268964648247E-5    7.641387362961633E-6     44.696948094228816       14.816872685054284       -0.13217880900040782
0.135                     0.01183673469387755      -9.999933353093434       1.086386901512742E-5     3.7112991216980712E-6    44.69694810052061        14.81687268718244        -0.13689948071928412
0.135                     0.012244897959183675     -9.999933352780017       1.086079401616007E-5     -2.181882825398442E-7    44.696948102139324       14.816872687827013       -0.14162015244172346
0.135                     0.012653061224489797     -9.999933353220637       1.0856723356060682E-5    -4.147511196189212E-6    44.69694809889678        14.816872686987773       -0.1463408241674092
0.135                     0.01306122448979592      -9.999933354557424       1.0851763737387955E-5    -8.075778941459008E-6    44.696948090787295       14.816872684664496       -0.15106149589578738
0.135                     0.013469387755102043     -9.999933354366071       1.0876319442875683E-5    9.39392260011901E-6      44.696948090782996       14.816872683549493       -0.15578216762447625
0.135                     0.013877551020408165     -9.999933353422108       1.0859916317276656E-5    5.458135037575088E-6     44.69694809729618        14.816872686338677       -0.16050283934086015
0.135                     0.014285714285714287     -9.999933352802055       1.0857123089022933E-5    1.5281730801861488E-6    44.69694810106277        14.816872687647162       -0.16522351106689692
0.135                     0.01469387755102041      -9.99993335293033        1.085427978169173E-5     -2.4013571992546523E-6   44.69694810010153        14.816872687471912       -0.16994418279575602
0.135                     0.01510204081632653      -9.99993335370074        1.0850990360602737E-5    -6.331001009107053E-6    44.69694809437           14.816872685812326       -0.174664854527125
0.135                     0.015510204081632653     -9.999933355070477       1.084780388046056E-5     -1.0260905737561944E-5   44.696948083947575       14.816872682667292       -0.17938552626039242
0.135                     0.015918367346938776     -9.999933346457885       1.0849675415083765E-5    7.204036247066806E-6     44.6969480933535         14.816872685218836       -0.18410619799470077
0.135                     0.0163265306122449       -9.99993332848189        1.0854835962876677E-5    3.2726608110258517E-6    44.69694810270484        14.816872687183483       -0.1888268697283225
0.135                     0.016734693877551023     -9.999933288180182       1.0860874554142356E-5    -6.619064534413005E-7    44.69694811069213        14.81687268766551        -0.19354754146144645
0.135                     0.017142857142857144     -9.999933212298165       1.0871028077788651E-5    -4.609528020106624E-6    44.69694811961195        14.816872686661          -0.19826821319670362
0.135                     0.017551020408163264     -9.999932994665402       1.091980748437345E-5     -8.612756385676901E-6    44.696948149090474       14.81687268414769        -0.20298888492877948
0.135                     0.017959183673469388     -9.99993176531789        1.1044899436645209E-5    9.130414948519178E-6     44.6969483375026         14.816872683758953       -0.20770955661986332
0.135                     0.018367346938775512     -9.999930780965816       1.1437916313298046E-5    4.940189285269719E-6     44.696948538096414       14.816872686253935       -0.21243022841946058
0.135                     0.018775510204081632     -9.99993144884154        1.097452495805919E-5     1.4060983351824077E-6    44.696948383926916       14.816872687606473       -0.21715090023508823
0.135                     0.019183673469387756     -9.99993311976185        1.2051501997746527E-5    -4.138099103031176E-6    44.6969482996407         14.816872687241924       -0.2218715718110024
