R                       Z                        T
0.13640816326530614       0.0012244897959183673    309.5340223535034
0.13640816326530614       0.0016326530612244896    309.54197321447157
0.13640816326530614       0.002040816326530612     309.5522171075289
0.13640816326530614       0.0024489795918367346    309.5647635057776
0.13640816326530614       0.002857142857142857     309.57963369478693
0.13640816326530614       0.0032653061224489793    309.596844677083
0.13640816326530614       0.003673469387755102     309.6164208821153
0.13640816326530614       0.004081632653061224     309.63839157472245
0.13640816326530614       0.004489795918367346     309.66278239765836
0.13640816326530614       0.004897959183673469     309.6896318808327
0.13640816326530614       0.005306122448979591     309.7189721809691
0.13640816326530614       0.005714285714285714     309.7508458220206
0.13640816326530614       0.0061224489795918356    309.7852980066788
0.13640816326530614       0.0065306122448979586    309.8223723376103
0.13640816326530614       0.0069387755102040816    309.8621253686635
0.13640816326530614       0.007346938775510204     309.90460603437145
0.13640816326530614       0.007755102040816327     309.94987695470803
0.13640816326530614       0.008163265306122448     309.9980001749762
0.13640816326530614       0.008571428571428572     310.04904028857896
0.13640816326530614       0.008979591836734692     310.1030736596563
0.13640816326530614       0.009387755102040816     310.1601686076871
0.13640816326530614       0.009795918367346938     310.2204104485386
0.13640816326530614       0.010204081632653062     310.28388052802467
0.13640816326530614       0.010612244897959184     310.35066771177077
0.13640816326530614       0.011020408163265308     310.4208716642942
0.13640816326530614       0.011428571428571429     310.4945834775568
0.13640816326530614       0.01183673469387755      310.571915482759
