R	Z
0.14837755	0.013061225
0.14837755	0.013469388
0.14837755	0.013877551
0.14837755	0.014285714
0.14837755	0.014693878
0.14837755	0.01510204
0.14837755	0.015510203
0.14837755	0.015918367
0.14837755	0.01632653
0.14837755	0.016734693
0.14837755	0.017142856
0.14837755	0.01755102
0.14837755	0.017959183
0.14837755	0.018367346
0.14837755	0.01877551
0.14837755	0.019183673
0.14837755	0.019591836
0.14837755	0.02
0.14908163	0.0
0.14908163	0.00040816324
0.14908163	0.0008163265
0.14908163	0.0012244898
0.14908163	0.001632653
0.14908163	0.0020408162
0.14908163	0.0024489795
0.14908163	0.0028571426
0.14908163	0.003265306
0.14908163	0.0036734694
0.14908163	0.0040816325
0.14908163	0.004489796
0.14908163	0.004897959
0.14908163	0.0053061224
0.14908163	0.005714285
0.14908163	0.006122449
0.14908163	0.006530612
0.14908163	0.006938775
0.14908163	0.007346939
0.14908163	0.0077551017
0.14908163	0.008163265
0.14908163	0.008571428
0.14908163	0.008979592
0.14908163	0.009387755
0.14908163	0.009795918
0.14908163	0.010204081
0.14908163	0.010612245
0.14908163	0.011020407
0.14908163	0.01142857
0.14908163	0.011836735
0.14908163	0.012244898
0.14908163	0.012653061
0.14908163	0.013061225
0.14908163	0.013469388
0.14908163	0.013877551
0.14908163	0.014285714
0.14908163	0.014693878
0.14908163	0.01510204
0.14908163	0.015510203
0.14908163	0.015918367
0.14908163	0.01632653
0.14908163	0.016734693
0.14908163	0.017142856
0.14908163	0.01755102
0.14908163	0.017959183
0.14908163	0.018367346
0.14908163	0.01877551
0.14908163	0.019183673
0.14908163	0.019591836
0.14908163	0.02
0.14978573	0.0
0.14978573	0.00040816324
0.14978573	0.0008163265
0.14978573	0.0012244898
0.14978573	0.001632653
0.14978573	0.0020408162
0.14978573	0.0024489795
0.14978573	0.0028571426
0.14978573	0.003265306
0.14978573	0.0036734694
0.14978573	0.0040816325
0.14978573	0.004489796
0.14978573	0.004897959
0.14978573	0.0053061224
0.14978573	0.005714285
0.14978573	0.006122449
0.14978573	0.006530612
0.14978573	0.006938775
0.14978573	0.007346939
0.14978573	0.0077551017
0.14978573	0.008163265
0.14978573	0.008571428
0.14978573	0.008979592
0.14978573	0.009387755
0.14978573	0.009795918
0.14978573	0.010204081
0.14978573	0.010612245
0.14978573	0.011020407
0.14978573	0.01142857
0.14978573	0.011836735
0.14978573	0.012244898
0.14978573	0.012653061
0.14978573	0.013061225
0.14978573	0.013469388
0.14978573	0.013877551
0.14978573	0.014285714
0.14978573	0.014693878
0.14978573	0.01510204
0.14978573	0.015510203
0.14978573	0.015918367
0.14978573	0.01632653
0.14978573	0.016734693
0.14978573	0.017142856
0.14978573	0.01755102
0.14978573	0.017959183
0.14978573	0.018367346
0.14978573	0.01877551
0.14978573	0.019183673
0.14978573	0.019591836
0.14978573	0.02
