R                       Z                        T
0.14436181                0.0041206027             309.06287311347035
0.14436181                0.0042211055             309.0668196121139
0.14436181                0.0043216078             309.0708656661086
0.14436181                0.0044221105             309.0750113115386
0.14436181                0.004522613              309.0792558709669
0.14436181                0.0046231155             309.0836013881392
0.14436181                0.004723618              309.08804899586465
0.14436181                0.00482412               309.0925986712543
0.14436181                0.004924623              309.09725048297446
0.14436181                0.0050251256             309.10199978682886
0.14436181                0.005125628              309.1068575430695
0.14436181                0.0052261306             309.1118144960558
0.14436181                0.005326633              309.1168748971785
0.14436181                0.0054271356             309.1220387665779
0.14436181                0.005527638              309.12730608370185
0.14436181                0.0056281406             309.1326763552347
0.14436181                0.005728643              309.13815167916385
0.14436181                0.0058291457             309.1437336318501
0.14436181                0.005929648              309.1494221742563
0.14436181                0.0060301507             309.1552173516633
0.14436181                0.006130653              309.16111556528256
0.14436181                0.0062311557             309.1671251781635
0.14436181                0.006331658              309.1732394803361
0.14436181                0.0064321607             309.17946212847653
0.14436181                0.006532663              309.18579307305237
0.14436181                0.0066331653             309.1922323386142
0.14436181                0.0067336685             309.19877965018196
0.14436181                0.006834171              309.2054370247219
0.14436181                0.006934673              309.21220641424804
0.14436181                0.0070351753             309.2190878723105
0.14436181                0.0071356785             309.2260814419984
0.14436181                0.007236181              309.2331853667659
0.14436181                0.007336683              309.2404032023033
0.14436181                0.0074371854             309.2477331665702
0.14436181                0.0075376886             309.2551773436907
0.14436181                0.007638191              309.26273561515444
0.14436181                0.007738693              309.27040800899874
0.14436181                0.007839195              309.27819448852983
0.14436181                0.007939698              309.2860975346161
0.14436181                0.008040201              309.2941188219235
0.14436181                0.008140704              309.3022583504518
0.14436181                0.0082412055             309.3105159960722
0.14436181                0.008341708              309.31889196331326
0.14436181                0.008442211              309.3273866232396
0.14436181                0.008542714              309.3360020605958
0.14436181                0.0086432155             309.34473827656734
0.14436181                0.008743718              309.35359548756736
0.14436181                0.008844221              309.36257365223827
